,Category,Link,Time,Title
0,社會,http://www.ettoday.net/news/20150614/520775.htm,2015-06-14,快訊／七堵行政大樓停車場　男在車內燒炭亡 
1,社會,http://www.ettoday.net/news/20150614/520711.htm,2015-06-14,勇消忍800度高溫無力跪地　吸幾口氧氣後...再回頭滅火 
2,社會,http://www.ettoday.net/news/20150614/520708.htm,2015-06-14,快訊／不滿女友提分手　越男攀爬桃市府跳樓 
3,社會,http://www.ettoday.net/news/20150614/520737.htm,2015-06-14,也是災情？情侶騎車遇暴雨　男自己穿雨衣女暴怒打他 
4,社會,http://www.ettoday.net/news/20150614/520700.htm,2015-06-14,擔心遭撿屍…竹科女喝醉到超商休息　色男猥褻還洗劫 
5,社會,http://www.ettoday.net/news/20150614/520724.htm,2015-06-14,替代役男割草猝死　母自責：教兒忍耐，笨媽反害死他 
6,社會,http://www.ettoday.net/news/20150614/520690.htm,2015-06-14,快訊／騎單車被轉彎砂石車輾過　屏東鹽埔母女雙亡 
7,社會,http://www.ettoday.net/news/20150614/520640.htm,2015-06-14,為平板推同學撞車？少年母：玩笑話，不小心拉扯 
8,社會,http://www.ettoday.net/news/20150614/520621.htm,2015-06-14,美好回憶毀了...惡鄰占地拆房變賣　阿嬤老家變停車格 
9,社會,http://www.ettoday.net/news/20150614/520593.htm,2015-06-14,2屁孩拒攔檢快閃鑽小巷　警連開28張紅單罰3萬 
10,社會,http://www.ettoday.net/news/20150614/520596.htm,2015-06-14,國中兒遭推撞車臉半毀不敢喊痛　母：心快痛死了 
11,社會,http://www.ettoday.net/news/20150614/520554.htm,2015-06-14,戴「豬頭」面具偷遍桃園　警看監視器畫面忍不住笑了 
12,社會,http://www.ettoday.net/news/20150614/520531.htm,2015-06-14,「你死了平板就我的」　國二生推同學撞車挨告 
13,社會,http://www.ettoday.net/news/20150614/520516.htm,2015-06-14,牙齒磨成粉末驗DNA　鑑識專家：堅固不易毀壞骨髓易保存 
14,社會,http://www.ettoday.net/news/20150614/520440.htm,2015-06-14,想吃狗肉強行拖走家犬　越南移工強辯「沒吃到」送辦 
15,社會,http://www.ettoday.net/news/20150613/520400.htm,2015-06-14,見檳榔西施「胸器」逼人　色狼凍未條強「摸兩粒」 
16,社會,http://www.ettoday.net/news/20150613/520488.htm,2015-06-14,追來了！載兒超併排車遭亮槍「砰砰」射車　駕駛嚇到麻 
17,社會,http://www.ettoday.net/news/20150613/520434.htm,2015-06-14,五子命案白骨DNA報告確認後結案　若非劉姓夫妻將併查 
18,社會,http://www.ettoday.net/news/20150613/520079.htm,2015-06-14,快訊／五子命案白骨拼圖　傳DNA結果是劉志勤、林真米 
19,社會,http://www.ettoday.net/news/20150613/520369.htm,2015-06-14,這你也信？男誆「老蔣5千噸黃金存單」　騙到210萬 
20,社會,http://www.ettoday.net/news/20150613/520345.htm,2015-06-14,濃濃黑煙！小琉球瓦斯氣爆　3員工灼傷送醫 
21,社會,http://www.ettoday.net/news/20150613/520339.htm,2015-06-14,詐領司機薪水給女兒繳貸款　雲林口湖鄉長遭羈押禁見 
22,社會,http://www.ettoday.net/news/20150613/520304.htm,2015-06-14,半年做一次...夫迷上養生館E奶按摩女　人妻被冷落報警 
23,社會,http://www.ettoday.net/news/20150613/520248.htm,2015-06-14,成功嶺役男烈日下割草暴斃　母：兒曾反應「在地獄」 
24,社會,http://www.ettoday.net/news/20150613/520294.htm,2015-06-14,19歲男1年騙4千萬　抓大把鈔票PO臉書炫富 
25,社會,http://www.ettoday.net/news/20150613/520288.htm,2015-06-14,62歲婦搶78歲翁7200元生活費　「點點衣」露餡被逮 
26,社會,http://www.ettoday.net/news/20150613/520293.htm,2015-06-14,快訊／板橋工地驚傳鷹架倒塌　1人受傷送醫1人受困中 
27,社會,http://www.ettoday.net/news/20150613/520241.htm,2015-06-14,癡戀男跟蹤騷擾5年　黃女拿到保護令：這真的有效嗎？ 
28,社會,http://www.ettoday.net/news/20150613/520238.htm,2015-06-14,五子命案最後一塊拼圖？兩具白骨如果不是劉志勤夫婦… 
29,社會,http://www.ettoday.net/news/20150613/520229.htm,2015-06-14,6月大女嬰放冰櫃「涼一下」引罵　老爸澄清只放幾秒 
30,大陸,http://www.ettoday.net/news/20150614/520664.htm,2015-06-14,「怪我自己貪心」　湖南股民賠光850萬跳樓亡 
31,大陸,http://www.ettoday.net/news/20150614/520491.htm,2015-06-14,促進兩岸交流　俞正聲：將開放台胞赴陸免簽 
